block_no	trial_no	trainOrTest	pan	SNR-BaseRate	signal	response	response_type	balance	RT
2	217	1	-0.14197757	1	2	2	3	1940	724
2	129	1	-6.7205342e-002	1	2	2	3	1950	456
2	198	1	-5.177397e-002	1	2	2	3	1960	304
2	239	1	-0.11570425	1	2	2	3	1970	1018
2	206	1	-6.6930784e-002	1	2	2	3	1980	114
2	231	1	-5.5629565e-002	1	2	2	3	1990	91
2	153	1	-0.13247808	1	2	2	3	2000	245
2	207	1	-0.18640567	1	2	2	3	2010	174
2	46	1	7.5246141e-002	1	1	1	1	2020	110
2	79	1	0.13323352	1	1	1	1	2030	29
2	166	1	8.4813644e-002	1	2	1	4	2030	449
2	144	1	-9.653718e-002	1	2	2	3	2040	155
2	116	1	-7.2076387e-002	1	2	2	3	2050	156
2	199	1	-0.27583449	1	2	2	3	2060	52
2	88	1	-9.1604702e-002	1	1	2	2	2060	248
2	212	1	-0.10784456	1	2	2	3	2070	153
2	133	1	-0.13391931	1	2	2	3	2080	162
2	233	1	-2.1208695e-002	1	2	2	3	2090	282
2	150	1	-0.12709146	1	2	2	3	2100	67
2	148	1	-0.26304714	1	2	2	3	2110	236
2	222	1	0.12787723	1	2	1	4	2110	195
2	208	1	-6.6730519e-002	1	2	2	3	2120	77
2	84	1	0.26022655	1	1	1	1	2130	190
2	225	1	-0.26299961	1	2	2	3	2140	334
2	47	1	0.22788748	1	1	1	1	2150	384
2	54	1	0.13685727	1	1	1	1	2160	309
2	43	1	0.19645313	1	1	1	1	2170	150
2	122	1	-0.11265494	1	2	2	3	2180	170
2	49	1	7.9646825e-002	1	1	1	1	2190	316
2	63	1	5.8473056e-002	1	1	1	1	2200	127
2	119	1	-1.8226163e-002	1	2	1	4	2200	64
2	214	1	8.499534e-003	1	2	2	3	2210	243
2	111	1	-3.7051816e-002	1	2	2	3	2220	744
2	158	1	-2.3008759e-002	1	2	2	3	2230	253
2	174	1	-5.5173839e-002	1	2	2	3	2240	575
2	176	1	-0.14366716	1	2	2	3	2250	397
2	85	1	7.0490252e-002	1	1	1	1	2260	249
2	75	1	9.223801e-002	1	1	1	1	2270	16
2	51	1	0.23389838	1	1	1	1	2280	11
2	155	1	-0.20279347	1	2	2	3	2290	160
2	98	1	-0.12090147	1	2	2	3	2300	295
2	64	1	0.10774568	1	1	1	1	2310	499
2	48	1	0.13777708	1	1	1	1	2320	275
2	121	1	-4.1555261e-002	1	2	2	3	2330	317
2	145	1	-0.13485457	1	2	2	3	2340	164
2	156	1	2.47608985e-002	1	2	2	3	2350	207
2	134	1	0.12646126	1	2	1	4	2350	240
2	209	1	-0.228837	1	2	2	3	2360	116
2	94	1	-0.13378651	1	2	2	3	2370	77
2	82	1	0.19765185	1	1	1	1	2380	172
2	139	1	-0.15022808	1	2	2	3	2390	277
2	235	1	6.2647673e-002	1	2	1	4	2390	216
2	173	1	2.40086182e-002	1	2	1	4	2390	38
2	143	1	-0.1322712	1	2	2	3	2400	103
2	154	1	-9.651624e-003	1	2	2	3	2410	600
2	168	1	-0.12029854	1	2	2	3	2420	135
2	74	1	0.15411656	1	1	1	1	2430	233
2	106	1	-2.8405029e-002	1	2	2	3	2440	489
2	193	1	-8.044852e-002	1	2	2	3	2450	555
2	93	1	-0.23656505	1	2	2	3	2460	54
2	151	1	-2.4526007e-002	1	2	2	3	2470	533
2	224	1	-0.16460849	1	2	2	3	2480	160
2	229	1	2.90049088e-002	1	2	2	3	2490	234
2	159	1	-8.14889e-002	1	2	2	3	2500	561
2	59	1	1.0585226e-002	1	1	2	2	2500	811
2	197	1	-6.4733799e-002	1	2	2	3	2510	126
